"Year","Species.Code","FMP","sumRPN"
1988,150,"GOA",0
1988,160,"GOA",42.1304778554778
1988,222,"GOA",0
1988,232,"GOA",0
1988,310,"GOA",8492.34961635269
1988,320,"GOA",135.860401399823
1988,351,"GOA",5.23655310382552
1989,150,"GOA",0
1989,160,"GOA",0
1989,222,"GOA",0
1989,232,"GOA",125.532623066749
1989,310,"GOA",13127.0403870103
1989,320,"GOA",193.959172790594
1989,351,"GOA",26.5980424330822
1990,150,"GOA",0
1990,160,"GOA",0
1990,222,"GOA",0
1990,232,"GOA",0
1990,310,"GOA",7642.35676148377
1990,320,"GOA",489.52158517992
1990,351,"GOA",52.0047063350585
1991,150,"GOA",0
1991,160,"GOA",0
1991,222,"GOA",0
1991,232,"GOA",268.881957473421
1991,310,"GOA",50266.1300484589
1991,320,"GOA",472.092422092498
1991,351,"GOA",11.8535714285714
1992,150,"GOA",0
1992,160,"GOA",0
1992,222,"GOA",0
1992,232,"GOA",22.0762354651163
1992,310,"GOA",85503.7944534555
1992,320,"GOA",511.331682451427
1992,351,"GOA",19.7216356546382
1993,150,"GOA",0
1993,160,"GOA",0
1993,222,"GOA",0
1993,232,"GOA",43.542818111569
1993,310,"GOA",72291.0937715303
1993,320,"GOA",1713.77754031611
1993,351,"GOA",29.1622298474867
1994,150,"GOA",0
1994,160,"GOA",0
1994,222,"GOA",0
1994,232,"GOA",89.772372681778
1994,310,"GOA",29732.7253634079
1994,320,"GOA",1784.27175008836
1994,351,"GOA",114.765409589155
1995,150,"GOA",0
1995,160,"GOA",0
1995,222,"GOA",0
1995,232,"GOA",0
1995,310,"GOA",31773.1821383822
1995,320,"GOA",1809.2929716268
1995,351,"GOA",8.19189730017442
1996,150,"BSAI",0
1996,150,"GOA",0
1996,160,"BSAI",0
1996,160,"GOA",0
1996,222,"BSAI",0
1996,222,"GOA",0
1996,232,"BSAI",0
1996,232,"GOA",12.3706137447034
1996,310,"BSAI",36.554126984127
1996,310,"GOA",24608.6023995473
1996,320,"BSAI",0
1996,320,"GOA",1599.6795573997
1996,351,"BSAI",0
1996,351,"GOA",11.0696070234114
1997,150,"BSAI",0
1997,150,"GOA",0
1997,160,"BSAI",0
1997,160,"GOA",0
1997,222,"BSAI",0
1997,222,"GOA",0
1997,232,"BSAI",0
1997,232,"GOA",0
1997,310,"BSAI",0
1997,310,"GOA",34074.9876203273
1997,320,"BSAI",522.000594057324
1997,320,"GOA",1026.34506670178
1997,351,"BSAI",0
1997,351,"GOA",94.0038936173788
1998,150,"BSAI",0
1998,150,"GOA",0
1998,160,"BSAI",0
1998,160,"GOA",0
1998,222,"BSAI",0
1998,222,"GOA",0
1998,232,"BSAI",0
1998,232,"GOA",249.832132298596
1998,310,"BSAI",31.4571428571429
1998,310,"GOA",107840.490942821
1998,320,"BSAI",0
1998,320,"GOA",2253.73805505851
1998,351,"BSAI",0
1998,351,"GOA",28.3765688511224
1999,150,"BSAI",0
1999,150,"GOA",0
1999,160,"BSAI",0
1999,160,"GOA",0
1999,222,"BSAI",0
1999,222,"GOA",0
1999,232,"BSAI",0
1999,232,"GOA",0
1999,310,"BSAI",0
1999,310,"GOA",17827.131261249
1999,320,"BSAI",177.215514773768
1999,320,"GOA",1597.72605413618
1999,351,"BSAI",0
1999,351,"GOA",0
2000,150,"BSAI",0
2000,150,"GOA",0
2000,160,"BSAI",0
2000,160,"GOA",0
2000,222,"BSAI",0
2000,222,"GOA",0
2000,232,"BSAI",0
2000,232,"GOA",0
2000,310,"BSAI",73.0885416666667
2000,310,"GOA",10587.514689104
2000,320,"BSAI",0
2000,320,"GOA",2526.35864101368
2000,351,"BSAI",0
2000,351,"GOA",0
2001,150,"BSAI",0
2001,150,"GOA",0
2001,160,"BSAI",0
2001,160,"GOA",0
2001,222,"BSAI",0
2001,222,"GOA",0
2001,232,"BSAI",0
2001,232,"GOA",0
2001,310,"BSAI",22.2545454545455
2001,310,"GOA",13768.4218371095
2001,320,"BSAI",45.2972672322517
2001,320,"GOA",3357.86125705816
2001,351,"BSAI",0
2001,351,"GOA",0
2002,150,"BSAI",0
2002,150,"GOA",0
2002,160,"BSAI",0
2002,160,"GOA",0
2002,222,"BSAI",0
2002,222,"GOA",0
2002,232,"BSAI",0
2002,232,"GOA",27.0413602941176
2002,310,"BSAI",11.3913043478261
2002,310,"GOA",14790.704330438
2002,320,"BSAI",0
2002,320,"GOA",3134.60621229166
2002,351,"BSAI",0
2002,351,"GOA",0
2003,150,"BSAI",0
2003,150,"GOA",0
2003,160,"BSAI",0
2003,160,"GOA",0
2003,222,"BSAI",0
2003,222,"GOA",0
2003,232,"BSAI",0
2003,232,"GOA",0
2003,310,"BSAI",0
2003,310,"GOA",20616.0639437613
2003,320,"BSAI",206.833327857082
2003,320,"GOA",2051.47279578137
2003,351,"BSAI",0
2003,351,"GOA",8.08357505980861
2004,150,"BSAI",0
2004,150,"GOA",0
2004,160,"BSAI",0
2004,160,"GOA",0
2004,222,"BSAI",0
2004,222,"GOA",0
2004,232,"BSAI",0
2004,232,"GOA",0
2004,310,"BSAI",6.72872340425532
2004,310,"GOA",25801.0856012122
2004,320,"BSAI",0
2004,320,"GOA",1250.04235135776
2004,351,"BSAI",0
2004,351,"GOA",0
2005,150,"BSAI",0
2005,150,"GOA",0
2005,160,"BSAI",0
2005,160,"GOA",0
2005,222,"BSAI",0
2005,222,"GOA",0
2005,232,"BSAI",0
2005,232,"GOA",23.5745192307692
2005,310,"BSAI",72.7886178861789
2005,310,"GOA",41201.3712889712
2005,320,"BSAI",22.6262966593155
2005,320,"GOA",568.702910780855
2005,351,"BSAI",0
2005,351,"GOA",0
2006,150,"BSAI",0
2006,150,"GOA",0
2006,160,"BSAI",0
2006,160,"GOA",0
2006,222,"BSAI",0
2006,222,"GOA",0
2006,232,"BSAI",0
2006,232,"GOA",99.0097402597402
2006,310,"BSAI",23.7603174603174
2006,310,"GOA",64975.3555227288
2006,320,"BSAI",0
2006,320,"GOA",106.89877777381
2006,351,"BSAI",0
2006,351,"GOA",4.30728761978762
2007,150,"BSAI",0
2007,150,"GOA",0
2007,160,"BSAI",0
2007,160,"GOA",0
2007,222,"BSAI",0
2007,222,"GOA",0
2007,232,"BSAI",0
2007,232,"GOA",47.5344273325359
2007,310,"BSAI",0
2007,310,"GOA",34829.009876101
2007,320,"BSAI",346.898890355096
2007,320,"GOA",166.088187807084
2007,351,"BSAI",0
2007,351,"GOA",0
2008,150,"BSAI",0
2008,150,"GOA",0
2008,160,"BSAI",0
2008,160,"GOA",0
2008,222,"BSAI",0
2008,222,"GOA",0
2008,232,"BSAI",0
2008,232,"GOA",0
2008,310,"BSAI",82.2021030920767
2008,310,"GOA",55514.5807481661
2008,320,"BSAI",0
2008,320,"GOA",311.768231678963
2008,351,"BSAI",0
2008,351,"GOA",0
2009,150,"BSAI",0
2009,150,"GOA",0
2009,160,"BSAI",0
2009,160,"GOA",0
2009,222,"BSAI",0
2009,222,"GOA",0
2009,232,"BSAI",0
2009,232,"GOA",0
2009,310,"BSAI",38.25
2009,310,"GOA",44997.8649884882
2009,320,"BSAI",41.9817073170732
2009,320,"GOA",33.9387966797704
2009,351,"BSAI",0
2009,351,"GOA",0
2010,150,"BSAI",0
2010,150,"GOA",0
2010,160,"BSAI",0
2010,160,"GOA",0
2010,222,"BSAI",0
2010,222,"GOA",0
2010,232,"BSAI",0
2010,232,"GOA",0
2010,310,"BSAI",0
2010,310,"GOA",26243.2559291992
2010,320,"BSAI",0
2010,320,"GOA",1186.63458653939
2010,351,"BSAI",0
2010,351,"GOA",0
2011,150,"BSAI",0
2011,150,"GOA",0
2011,160,"BSAI",0
2011,160,"GOA",0
2011,222,"BSAI",0
2011,222,"GOA",0
2011,232,"BSAI",0
2011,232,"GOA",0
2011,310,"BSAI",0
2011,310,"GOA",25654.5021542921
2011,320,"BSAI",33.9526414410058
2011,320,"GOA",253.125217567586
2011,351,"BSAI",0
2011,351,"GOA",0
2012,150,"BSAI",0
2012,150,"GOA",0
2012,160,"BSAI",0
2012,160,"GOA",0
2012,222,"BSAI",0
2012,222,"GOA",0
2012,232,"BSAI",0
2012,232,"GOA",0
2012,310,"BSAI",0
2012,310,"GOA",23154.2810026368
2012,320,"BSAI",0
2012,320,"GOA",127.963346358671
2012,351,"BSAI",0
2012,351,"GOA",0
2013,150,"BSAI",0
2013,150,"GOA",0
2013,160,"BSAI",0
2013,160,"GOA",0
2013,222,"BSAI",0
2013,222,"GOA",0
2013,232,"BSAI",0
2013,232,"GOA",0
2013,310,"BSAI",0
2013,310,"GOA",9564.3360026186
2013,320,"BSAI",70.9707792207792
2013,320,"GOA",88.603026534819
2013,351,"BSAI",0
2013,351,"GOA",0
2014,150,"BSAI",0
2014,150,"GOA",0
2014,160,"BSAI",0
2014,160,"GOA",0
2014,222,"BSAI",0
2014,222,"GOA",0
2014,232,"BSAI",0
2014,232,"GOA",0
2014,310,"BSAI",6.58854166666667
2014,310,"GOA",59188.6812667143
2014,320,"BSAI",0
2014,320,"GOA",82.5295105432203
2014,351,"BSAI",0
2014,351,"GOA",9.49107142857143
2015,150,"BSAI",0
2015,150,"GOA",0
2015,160,"BSAI",0
2015,160,"GOA",0
2015,222,"BSAI",0
2015,222,"GOA",0
2015,232,"BSAI",0
2015,232,"GOA",0
2015,310,"BSAI",0
2015,310,"GOA",26463.1345820784
2015,320,"BSAI",67.2394540942928
2015,320,"GOA",41.2937977719954
2015,351,"BSAI",0
2015,351,"GOA",24.2160204991087
2016,150,"BSAI",0
2016,150,"GOA",0
2016,160,"BSAI",0
2016,160,"GOA",0
2016,222,"BSAI",0
2016,222,"GOA",0
2016,232,"BSAI",0
2016,232,"GOA",0
2016,310,"BSAI",0
2016,310,"GOA",27591.8216273604
2016,320,"BSAI",0
2016,320,"GOA",0
2016,351,"BSAI",0
2016,351,"GOA",0
2017,150,"BSAI",0
2017,150,"GOA",0
2017,160,"BSAI",0
2017,160,"GOA",0
2017,222,"BSAI",0
2017,222,"GOA",0
2017,232,"BSAI",0
2017,232,"GOA",0
2017,310,"BSAI",0
2017,310,"GOA",45079.8940829467
2017,320,"BSAI",0
2017,320,"GOA",228.716528512982
2017,351,"BSAI",0
2017,351,"GOA",4.18092948717949
2018,150,"BSAI",0
2018,150,"GOA",0
2018,160,"BSAI",0
2018,160,"GOA",0
2018,222,"BSAI",0
2018,222,"GOA",0
2018,232,"BSAI",0
2018,232,"GOA",0
2018,310,"BSAI",5.75
2018,310,"GOA",20095.9972104744
2018,320,"BSAI",0
2018,320,"GOA",52.3134444764267
2018,351,"BSAI",0
2018,351,"GOA",9.58978174603175
2019,150,"BSAI",0
2019,150,"GOA",0
2019,160,"BSAI",0
2019,160,"GOA",0
2019,222,"BSAI",0
2019,222,"GOA",0
2019,232,"BSAI",0
2019,232,"GOA",0
2019,310,"BSAI",0
2019,310,"GOA",43781.9603939561
2019,320,"BSAI",105.305127768797
2019,320,"GOA",219.959620409024
2019,351,"BSAI",0
2019,351,"GOA",0
2020,150,"BSAI",0
2020,150,"GOA",0
2020,160,"BSAI",0
2020,160,"GOA",0
2020,222,"BSAI",0
2020,222,"GOA",0
2020,232,"BSAI",0
2020,232,"GOA",0
2020,310,"BSAI",0
2020,310,"GOA",24749.3969120552
2020,320,"BSAI",0
2020,320,"GOA",3.06707317073171
2020,351,"BSAI",0
2020,351,"GOA",158.162997762878
