"Year","PROJECT_CODE","n","691_Cnt_tot","691_Cnt_pNmi_mean","691_Cnt_pNmi_var","691_Kg_tot","691_Kg_pNmi_mean","691_Kg_pNmi_var","692_Cnt_tot","692_Cnt_pNmi_mean","692_Cnt_pNmi_var","692_Kg_tot","692_Kg_pNmi_mean","692_Kg_pNmi_var","690_Cnt_tot","690_Cnt_pNmi_mean","690_Cnt_pNmi_var","690_Kg_tot","690_Kg_pNmi_mean","690_Kg_pNmi_var"
"1989","T04",7,6.000000,0.858699,2.184129,29.937096,4.265719,34.368031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1990","T04",14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1990","T05",24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1990","T06",11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1991","T04",15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1991","T05",17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1991","T06",29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1992","T04",15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1992","T05",30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1992","T06",37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1993","T04",16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1993","T05",15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1993","T06",38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1994","T04",16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1994","T05",17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1994","T06",38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1995","T04",16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1995","T05",24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1995","T06",32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1996","T04",16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1996","T05",18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1997","T04",16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1997","T05",18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1997","T06",39,19.000000,0.473781,0.442639,46.266421,1.151366,2.842658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.024894,0.024169,115.212461,2.868122,320.818835
"1998","T04",16,1.000000,0.074404,0.088577,4.535923,0.337494,1.822438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1998","T05",22,108.000000,4.786506,16.070099,351.987679,15.581651,134.349347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1999","T04",16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1999","T05",20,33.000000,1.776142,11.883265,125.191494,6.820271,138.873367,1.000000,0.049019,0.048058,74.389148,3.646526,265.943168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1999","T06",44,1.000000,0.022956,0.023188,3.628738,0.083304,0.305343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2000","T04",16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2000","T05",24,81.000000,3.342384,3.616633,297.103002,12.337323,54.535395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2001","T04",16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2001","T05",24,63.000000,2.616560,9.784399,237.260261,9.858889,159.870207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2001","T06",45,76.000000,1.704503,5.325633,180.715393,4.048875,30.257322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2002","T04",14,1.000000,0.071428,0.071428,2.721554,0.194396,0.529061,1.000000,0.071428,0.071428,329.308060,23.522004,7745.985627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2002","T05",19,60.000000,3.121020,7.695125,224.538707,11.875816,104.874171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2003","T04",16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.071839,0.082573,16.329325,1.173083,22.018006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2003","T05",17,323.000000,18.978961,377.239475,918.978141,53.949183,2659.577974,1.000000,0.058241,0.057664,363.781080,21.187016,7631.124670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2003","T06",41,51.000000,1.266439,2.959222,119.226831,2.961861,17.989096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2004","T04",16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2004","T05",22,200.000000,9.234429,72.158833,557.011430,25.735564,570.645150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2005","T04",15,1.000000,0.067340,0.068020,2.000000,0.134680,0.272081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2005","T05",21,157.000000,7.448078,187.933671,494.600000,23.477137,2608.329985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2005","T06",44,141.000000,3.219964,26.023969,248.210958,5.670406,53.392155,2.000000,0.045459,0.044410,358.700000,8.177295,1577.836273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2006","T04",16,650.000000,48.707796,6705.423881,1776.900000,128.725269,38278.366531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2006","T05",27,50.000000,1.819990,4.351813,139.650000,5.068821,35.719619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2007","T04",16,111.000000,7.007577,81.016333,372.000000,23.543624,576.892498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2007","T05",24,215.000000,8.971121,74.989100,660.000000,27.618404,636.552255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2007","T06",43,30.000000,0.707539,1.729188,81.532459,1.920582,10.310469,4.000000,0.093267,0.086844,713.850054,16.611502,3467.746677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2008","T04",16,71.000000,4.477913,30.984033,397.000000,24.999255,907.878480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2009","T04",15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2009","T06",50,3.000000,0.060408,0.058342,6.720000,0.135583,0.320755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2010","T05",24,256.000000,10.680984,54.380395,732.000000,30.544798,363.065343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2011","T04",37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2011","T06",51,39.000000,0.795122,6.170294,70.750000,1.437755,22.566992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2012","T04",37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.051746,0.099073,210.000000,10.866696,4369.148578,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2012","T05",23,315.000000,13.820435,916.396014,643.750000,28.249093,3914.354314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2013","T04",37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2013","T06",48,1.000000,0.020360,0.019899,2.100000,0.042758,0.087755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2014","T06",46,104.000000,2.277593,16.407336,213.250000,4.723451,74.170386,1.000000,0.034253,0.053971,218.000000,7.467207,2564.922630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2015","T06",48,494.000000,10.107241,927.701181,916.120000,18.728850,3158.617664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
